street_name,chars
"סמ חצב ג""ע","ס מ   ח צ ב   ג "" ע"
צר עי ב משפ,צ ר   ע י   ב   מ ש פ
דוד בן גוריון,ד ו ד   ב ן   ג ו ר י ו ן
אבא חלקיה,א ב א   ח ל ק י ה
ש מלבן,ש   מ ל ב ן
שלמה זכריה,ש ל מ ה   ז כ ר י ה
שזרית,ש ז ר י ת
אלקחי מרדכי,א ל ק ח י   מ ר ד כ י
לוי חיים,ל ו י   ח י י ם
משעול הערמונים,מ ש ע ו ל   ה ע ר מ ו נ י ם
סלומון זליג ושרה,ס ל ו מ ו ן   ז ל י ג   ו ש ר ה
אולפן יהודה,א ו ל פ ן   י ה ו ד ה
שכ המצדים,ש כ   ה מ צ ד י ם
אל-לגון,א ל - ל ג ו ן
בית ארבל,ב י ת   א ר ב ל
דרך השיירות,ד ר ך   ה ש י י ר ו ת
מיכלאנג'לו,מ י כ ל א נ ג ' ל ו
מוסד תלפיות,מ ו ס ד   ת ל פ י ו ת
אזור תעשיה יהלום,א ז ו ר   ת ע ש י ה   י ה ל ו ם
סמטת עין התכלת,ס מ ט ת   ע י ן   ה ת כ ל ת
צימפל פרידריך,צ י מ פ ל   פ ר י ד ר י ך
רב חיים חורי,ר ב   ח י י ם   ח ו ר י
שלמה בן יוסף,ש ל מ ה   ב ן   י ו ס ף
סביון סמ,ס ב י ו ן   ס מ
ב חנינה,ב   ח נ י נ ה
מו תלפיות מ,מ ו   ת ל פ י ו ת   מ
גן מאיר סמטה,ג ן   מ א י ר   ס מ ט ה
נחל קישון,נ ח ל   ק י ש ו ן
סמ עשוש,ס מ   ע ש ו ש
שכ כרם אראס,ש כ   כ ר ם   א ר א ס
מעלות אורן,מ ע ל ו ת   א ו ר ן
ככר אגוז,כ כ ר   א ג ו ז
אל אע'ניאא,א ל   א ע ' נ י א א
נקר יוסף,נ ק ר   י ו ס ף
מענה שמחה,מ ע נ ה   ש מ ח ה
בב אל חליל,ב ב   א ל   ח ל י ל
הרב עוזי קלכהיים,ה ר ב   ע ו ז י   ק ל כ ה י י ם
קצה אל רצול,ק צ ה   א ל   ר צ ו ל
רב אמימר,ר ב   א מ י מ ר
שכ רמת גולדה,ש כ   ר מ ת   ג ו ל ד ה
אלזאהריה,א ל ז א ה ר י ה
אבו תור,א ב ו   ת ו ר
שמיד ישראל,ש מ י ד   י ש ר א ל
סונדס,ס ו נ ד ס
רח הא,ר ח   ה א
עין אל-קסיב,ע י ן   א ל - ק ס י ב
בני ברמן,ב נ י   ב ר מ ן
שדה תעופה שדה דב,ש ד ה   ת ע ו פ ה   ש ד ה   ד ב
לדזינסקי,ל ד ז י נ ס ק י
הר ורדה מכבים רעות,ה ר   ו ר ד ה   מ כ ב י ם   ר ע ו ת
"הרש""ש","ה ר ש "" ש"
כפות תמרים,כ פ ו ת   ת מ ר י ם
ילן-שטקליס מרים,י ל ן - ש ט ק ל י ס   מ ר י ם
ככר סייפן,כ כ ר   ס י י פ ן
חליל גובראן,ח ל י ל   ג ו ב ר א ן
חמרה,ח מ ר ה
אלאבנאא,א ל א ב נ א א
גיטל דינוביץ,ג י ט ל   ד י נ ו ב י ץ
נרקיסים סמטה,נ ר ק י ס י ם   ס מ ט ה
אבו אלהיתם,א ב ו   א ל ה י ת ם
שכ פני קדם,ש כ   פ נ י   ק ד ם
אהרון כצנלסון,א ה ר ו ן   כ צ נ ל ס ו ן
מלכית סמ,מ ל כ י ת   ס מ
יצחק כושי עפגין,י צ ח ק   כ ו ש י   ע פ ג י ן
הגדי,ה ג ד י
ש קדמה ב,ש   ק ד מ ה   ב
הרב ברוך שמואל,ה ר ב   ב ר ו ך   ש מ ו א ל
"האדמו""ר מבעלז","ה א ד מ ו "" ר   מ ב ע ל ז"
שד כפר עציון,ש ד   כ פ ר   ע צ י ו ן
האורגים,ה א ו ר ג י ם
מחנה גבעון,מ ח נ ה   ג ב ע ו ן
מלון תמר,מ ל ו ן   ת מ ר
סמית,ס מ י ת
העורבני,ה ע ו ר ב נ י
אל מריח',א ל   מ ר י ח '
"מהר""ל","מ ה ר "" ל"
רח כ,ר ח   כ
כעביה-טבאש-חגאגרה,כ ע ב י ה - ט ב א ש - ח ג א ג ר ה
מתן תורה,מ ת ן   ת ו ר ה
מעונות סגל זוטר,מ ע ו נ ו ת   ס ג ל   ז ו ט ר
ויינר יוסף,ו י י נ ר   י ו ס ף
נקרות,נ ק ר ו ת
המלך עזריה,ה מ ל ך   ע ז ר י ה
סמיר אמיס,ס מ י ר   א מ י ס
שמי,ש מ י
ככר לביא,כ כ ר   ל ב י א
תדמור,ת ד מ ו ר
מעלות לגרלף סלמה,מ ע ל ו ת   ל ג ר ל ף   ס ל מ ה
מלון רויאל ביץ',מ ל ו ן   ר ו י א ל   ב י ץ '
בית התלמוד,ב י ת   ה ת ל מ ו ד
רחבת מרואני מכלוף,ר ח ב ת   מ ר ו א נ י   מ כ ל ו ף
ש גנים ב,ש   ג נ י ם   ב
עובדיה יוסף הרב,ע ו ב ד י ה   י ו ס ף   ה ר ב
אל-כרם,א ל - כ ר ם
ברוך גרינברג,ב ר ו ך   ג ר י נ ב ר ג
ככר לונדון,כ כ ר   ל ו נ ד ו ן
מעון סטודנטי,מ ע ו ן   ס ט ו ד נ ט י
בן ישראל מנש,ב ן   י ש ר א ל   מ נ ש
כביש בת ים,כ ב י ש   ב ת   י ם
פרדיס,פ ר ד י ס
יבנאל בית גן,י ב נ א ל   ב י ת   ג ן
אלפל,א ל פ ל
בוקסבאום,ב ו ק ס ב א ו ם
אום א דראג',א ו ם   א   ד ר א ג '
בר-יוחאי,ב ר - י ו ח א י
אלכאברי,א ל כ א ב ר י
הטסגי,ה ט ס ג י
נורי דוד,נ ו ר י   ד ו ד
כפר גנים ישיבה,כ פ ר   ג נ י ם   י ש י ב ה
בן אריה,ב ן   א ר י ה
יעקב תמרי,י ע ק ב   ת מ ר י
הכותל הקטן,ה כ ו ת ל   ה ק ט ן
הרב פיינשטיין משה,ה ר ב   פ י י נ ש ט י י ן   מ ש ה
אל-זהרא',א ל - ז ה ר א '
"קרית סגל נ""א","ק ר י ת   ס ג ל   נ "" א"
אל-מזאר,א ל - מ ז א ר
קדם מבוא,ק ד ם   מ ב ו א
כרם אראס,כ ר ם   א ר א ס
האגדה שדרות,ה א ג ד ה   ש ד ר ו ת
הלא,ה ל א
פארק שיאים,פ א ר ק   ש י א י ם
הרב אלימלך נויפלד,ה ר ב   א ל י מ ל ך   נ ו י פ ל ד
עין אל זיתונה,ע י ן   א ל   ז י ת ו נ ה
אל פנאר,א ל   פ נ א ר
טיכו אנה,ט י כ ו   א נ ה
הרב חוויטה כהן רחמי,ה ר ב   ח ו ו י ט ה   כ ה ן   ר ח מ י
מ . ק . אורלי,מ   .   ק   .   א ו ר ל י
אלמסררה,א ל מ ס ר ר ה
כוכבי אפרים,כ ו כ ב י   א פ ר י ם
יום טוב,י ו ם   ט ו ב
אל-שאחוט,א ל - ש א ח ו ט
דרך תל מור,ד ר ך   ת ל   מ ו ר
אלקטאין,א ל ק ט א י ן
נחל מודיעין,נ ח ל   מ ו ד י ע י ן
גינוסר,ג י נ ו ס ר
משעול קפוד,מ ש ע ו ל   ק פ ו ד
בית גברין,ב י ת   ג ב ר י ן
הבעשט שדרות,ה ב ע ש ט   ש ד ר ו ת
אלפיג'ין,א ל פ י ג ' י ן
המעלה ש מומחים,ה מ ע ל ה   ש   מ ו מ ח י ם
ש לדגמא א,ש   ל ד ג מ א   א
"יערה מ""ר","י ע ר ה   מ "" ר"
אלועד,א ל ו ע ד
"האלומה ג""ע","ה א ל ו מ ה   ג "" ע"
אל-מטאר,א ל - מ ט א ר
גולדקנופ,ג ו ל ד ק נ ו פ
"רש""ל","ר ש "" ל"
אלחגארה,א ל ח ג א ר ה
ניו דלהי,נ י ו   ד ל ה י
מע ק אליהו,מ ע   ק   א ל י ה ו
אל שיח,א ל   ש י ח
מבצע אביב נעורים,מ ב צ ע   א ב י ב   נ ע ו ר י ם
הנופלים,ה נ ו פ ל י ם
ביס לגננות,ב י ס   ל ג נ נ ו ת
ש א שפרינצק,ש   א   ש פ ר י נ צ ק
אל-ח'יראת,א ל - ח ' י ר א ת
מועאויה אבו ספיאן,מ ו ע א ו י ה   א ב ו   ס פ י א ן
וולוזין ישיבה,ו ו ל ו ז י ן   י ש י ב ה
"של""ה","ש ל "" ה"
כרמון,כ ר מ ו ן
נג'יב,נ ג ' י ב
איירין סלא,א י י ר י ן   ס ל א
ש נ שפרינצק,ש   נ   ש פ ר י נ צ ק
קרית שרת מעו,ק ר י ת   ש ר ת   מ ע ו
מלון סאן,מ ל ו ן   ס א ן
רח בח ק חיי,ר ח   ב ח   ק   ח י י
אייזיק ניוטון,א י י ז י ק   נ י ו ט ו ן
אזבסטונים,א ז ב ס ט ו נ י ם
מעלות אלפיה,מ ע ל ו ת   א ל פ י ה
אבו טלחה אל-אנסארי,א ב ו   ט ל ח ה   א ל - א נ ס א ר י
ש תל צור,ש   ת ל   צ ו ר
אלסיל,א ל ס י ל
מדרך עז,מ ד ר ך   ע ז
דה-שליט,ד ה - ש ל י ט
שכ הר נוף,ש כ   ה ר   נ ו ף
אל ראוודאת,א ל   ר א ו ו ד א ת
ש ארעי ב,ש   א ר ע י   ב
פרופ' ישראל יבין,פ ר ו פ '   י ש ר א ל   י ב י ן
הפעמון כיכר,ה פ ע מ ו ן   כ י כ ר
נח בקמן,נ ח   ב ק מ ן
תורת חיים,ת ו ר ת   ח י י ם
בהרב יקותיאל,ב ה ר ב   י ק ו ת י א ל
ביח שויצר,ב י ח   ש ו י צ ר
"ב""ק ישראל","ב "" ק   י ש ר א ל"
באב סבט,ב א ב   ס ב ט
נמל הקישון,נ מ ל   ה ק י ש ו ן
הקציר,ה ק צ י ר
זיטניצקי,ז י ט נ י צ ק י
"חי""ם","ח י "" ם"
הרב שרים יוסף,ה ר ב   ש ר י ם   י ו ס ף
תשובה,ת ש ו ב ה
שכ כפר סבא הצעירה,ש כ   כ פ ר   ס ב א   ה צ ע י ר ה
תלמי יחיאל,ת ל מ י   י ח י א ל
מלכין,מ ל כ י ן
אלמוגרבי סמי,א ל מ ו ג ר ב י   ס מ י
דרך כרמית,ד ר ך   כ ר מ י ת
דו אל-נורין,ד ו   א ל - נ ו ר י ן
משעול מולית,מ ש ע ו ל   מ ו ל י ת
ככר אליהו אלישר,כ כ ר   א ל י ה ו   א ל י ש ר
ש קרית עמל,ש   ק ר י ת   ע מ ל
באר טוביה כ,ב א ר   ט ו ב י ה   כ
מעלה הפלמח,מ ע ל ה   ה פ ל מ ח
מנדרינה,מ נ ד ר י נ ה
הענתות,ה ע נ ת ו ת
חלת זיתא,ח ל ת   ז י ת א
סמ הגינה,ס מ   ה ג י נ ה
שטיפטל מרק,ש ט י פ ט ל   מ ר ק
פרופ' עלי דיויס,פ ר ו פ '   ע ל י   ד י ו י ס
ישעיהו אברך,י ש ע י ה ו   א ב ר ך
נחום דוברין,נ ח ו ם   ד ו ב ר י ן
קיפניס משה,ק י פ נ י ס   מ ש ה
בורחס חורחה,ב ו ר ח ס   ח ו ר ח ה
שיבולים,ש י ב ו ל י ם
פאני מוגרבי,פ א נ י   מ ו ג ר ב י
אלירמוק,א ל י ר מ ו ק
נחל ירקון,נ ח ל   י ר ק ו ן
ק משה טרומים,ק   מ ש ה   ט ר ו מ י ם
מרכז הנופש ב,מ ר כ ז   ה נ ו פ ש   ב
עשת אביגדור,ע ש ת   א ב י ג ד ו ר
דניאל סירקיס,ד נ י א ל   ס י ר ק י ס
צפית,צ פ י ת
סמ הפלדה,ס מ   ה פ ל ד ה
אמת המים,א מ ת   ה מ י ם
שכ דריגאת,ש כ   ד ר י ג א ת
נתן ברניצקי,נ ת ן   ב ר נ י צ ק י
דיברות משה,ד י ב ר ו ת   מ ש ה
שמעון,ש מ ע ו ן
שכ קרוואנים,ש כ   ק ר ו ו א נ י ם
חיים תורן,ח י י ם   ת ו ר ן
עקבה,ע ק ב ה
קלמן גבריאלוב,ק ל מ ן   ג ב ר י א ל ו ב
שכ בורגול,ש כ   ב ו ר ג ו ל
בן יגלי בוקי,ב ן   י ג ל י   ב ו ק י
בב אל מטהרה,ב ב   א ל   מ ט ה ר ה
חטיבת גולני,ח ט י ב ת   ג ו ל נ י
אשבל דב כיכר,א ש ב ל   ד ב   כ י כ ר
זרח,ז ר ח
הרב הירשלר משה,ה ר ב   ה י ר ש ל ר   מ ש ה
ברוכים שמואל,ב ר ו כ י ם   ש מ ו א ל
טיילת המלך חסן השני,ט י י ל ת   ה מ ל ך   ח ס ן   ה ש נ י
רגיב נששיבי,ר ג י ב   נ ש ש י ב י
אלזעתר,א ל ז ע ת ר
אל וואלאגה,א ל   ו ו א ל א ג ה
סלומון יואל משה,ס ל ו מ ו ן   י ו א ל   מ ש ה
סמ חיטה,ס מ   ח י ט ה
עמוס ויגדסקי,ע מ ו ס   ו י ג ד ס ק י
יאקות אל חמווי,י א ק ו ת   א ל   ח מ ו ו י
גרללה ש חוסם,ג ר ל ל ה   ש   ח ו ס ם
שדרות סמאטס,ש ד ר ו ת   ס מ א ט ס
מעלה הקיסוס,מ ע ל ה   ה ק י ס ו ס
רוקח ישראל,ר ו ק ח   י ש ר א ל
הרב יאנה מכלוף,ה ר ב   י א נ ה   מ כ ל ו ף
"אזור בי""ס טה חסין","א ז ו ר   ב י "" ס   ט ה   ח ס י ן"
הרב טייב חי יצחק,ה ר ב   ט י י ב   ח י   י צ ח ק
שושנת הכרמל,ש ו ש נ ת   ה כ ר מ ל
פרץ י ל,פ ר ץ   י   ל
גלמה שמאליה,ג ל מ ה   ש מ א ל י ה
העופרים,ה ע ו פ ר י ם
ש עמל א ב,ש   ע מ ל   א   ב
ביתן אהרון,ב י ת ן   א ה ר ו ן
קיראון,ק י ר א ו ן
שפרינצק,ש פ ר י נ צ ק
שכונת ספיר,ש כ ו נ ת   ס פ י ר
שכון גג,ש כ ו ן   ג ג
אור שרגא,א ו ר   ש ר ג א
אלבראא,א ל ב ר א א
סטלה מריס צר,ס ט ל ה   מ ר י ס   צ ר
ח'לת אלח'מאש,ח ' ל ת   א ל ח ' מ א ש
אז תעשיה ב,א ז   ת ע ש י ה   ב
אלשבאסיה ג'ת,א ל ש ב א ס י ה   ג ' ת
שכון א דרום,ש כ ו ן   א   ד ר ו ם
סעד ח'ניפס,ס ע ד   ח ' נ י פ ס
טדסקי גד,ט ד ס ק י   ג ד
המגינים קש,ה מ ג י נ י ם   ק ש
שד הראה,ש ד   ה ר א ה
עין ג'אלוט,ע י ן   ג ' א ל ו ט
לוין הרב,ל ו י ן   ה ר ב
בובר שלמה,ב ו ב ר   ש ל מ ה
סמ משה סנה,ס מ   מ ש ה   ס נ ה
מצליח הרב,מ צ ל י ח   ה ר ב
בידר דבאלה,ב י ד ר   ד ב א ל ה
אל נור,א ל   נ ו ר
וישני,ו י ש נ י
אל-מקאבר,א ל - מ ק א ב ר
האקדמאים,ה א ק ד מ א י ם
אלמדינה,א ל מ ד י נ ה
ב רסקו ק יו,ב   ר ס ק ו   ק   י ו
ליסבון,ל י ס ב ו ן
אפיקים בנגב,א פ י ק י ם   ב נ ג ב
"הר נטופה מ""ר","ה ר   נ ט ו פ ה   מ "" ר"
ש עין גנים,ש   ע י ן   ג נ י ם
מילאנו,מ י ל א נ ו
שכונת בנה ביתך,ש כ ו נ ת   ב נ ה   ב י ת ך
קטורת,ק ט ו ר ת
מרג'ה,מ ר ג ' ה
אל זהרא,א ל   ז ה ר א
מעונות שיין,מ ע ו נ ו ת   ש י י ן
דרך עילוט,ד ר ך   ע י ל ו ט
קויפמן יחזקאל,ק ו י פ מ ן   י ח ז ק א ל
משעול הגיא,מ ש ע ו ל   ה ג י א
אל-חלה,א ל - ח ל ה
סברדלוב,ס ב ר ד ל ו ב
ש כב חדש יפ,ש   כ ב   ח ד ש   י פ
ענבר,ע נ ב ר
שכ ד לדוגמא,ש כ   ד   ל ד ו ג מ א
ניסן עבודי,נ י ס ן   ע ב ו ד י
קרית בגין מנחם,ק ר י ת   ב ג י ן   מ נ ח ם
סתווי,ס ת ו ו י
עזריהו,ע ז ר י ה ו
רבינוביץ יוסף,ר ב י נ ו ב י ץ   י ו ס ף
איבן אל-נפיס,א י ב ן   א ל - נ פ י ס
שבד,ש ב ד
מוסד וינגרט,מ ו ס ד   ו י נ ג ר ט
אריאל מאיר,א ר י א ל   מ א י ר
אלזית,א ל ז י ת
קלט טבריה,ק ל ט   ט ב ר י ה
הרכבי,ה ר כ ב י
גורדסקי,ג ו ר ד ס ק י
ש הפולנים,ש   ה פ ו ל נ י ם
אליהו ראם,א ל י ה ו   ר א ם
כפר זיו,כ פ ר   ז י ו
שכ' סיגליות,ש כ '   ס י ג ל י ו ת
בית-און,ב י ת - א ו ן
אלקס יוסף צבי,א ל ק ס   י ו ס ף   צ ב י
מבוא הדסים,מ ב ו א   ה ד ס י ם
רבי יונתן בן עוזיאל,ר ב י   י ו נ ת ן   ב ן   ע ו ז י א ל
הפלס,ה פ ל ס
שכונת אשכול,ש כ ו נ ת   א ש כ ו ל
נחל ראובן,נ ח ל   ר א ו ב ן
אלסוואנה,א ל ס ו ו א נ ה
המערבים,ה מ ע ר ב י ם
יהלום צור יגאל,י ה ל ו ם   צ ו ר   י ג א ל
שכ הגיחון,ש כ   ה ג י ח ו ן
ערוער,ע ר ו ע ר
גדוד מוריה,ג ד ו ד   מ ו ר י ה
הוותיקים,ה ו ו ת י ק י ם
אל סלח,א ל   ס ל ח
זכריה חממי,ז כ ר י ה   ח מ מ י
שוכמן ישראל,ש ו כ מ ן   י ש ר א ל
יעלים פטיו,י ע ל י ם   פ ט י ו
שמיר אולגה,ש מ י ר   א ו ל ג ה
חאלית אלעדס,ח א ל י ת   א ל ע ד ס
גן מגד ביח,ג ן   מ ג ד   ב י ח
רח מ ק חיים,ר ח   מ   ק   ח י י ם
נ חים ב תינ,נ   ח י ם   ב   ת י נ
דרך הפרחים,ד ר ך   ה פ ר ח י ם
מרומי אלעד,מ ר ו מ י   א ל ע ד
משעול יעקב קלדרון,מ ש ע ו ל   י ע ק ב   ק ל ד ר ו ן
השופט יעקב אזולאי,ה ש ו פ ט   י ע ק ב   א ז ו ל א י
צהלון הרופא,צ ה ל ו ן   ה ר ו פ א
שלח,ש ל ח
"עפרוני צ""י","ע פ ר ו נ י   צ "" י"
שבתי צדק,ש ב ת י   צ ד ק
משעול צוקים,מ ש ע ו ל   צ ו ק י ם
השקמים ב בק,ה ש ק מ י ם   ב   ב ק
ב אליעזר אזב,ב   א ל י ע ז ר   א ז ב
ש צהלה דרום,ש   צ ה ל ה   ד ר ו ם
קצנשטיין אריה,ק צ נ ש ט י י ן   א ר י ה
דבש,ד ב ש
המשוררים,ה מ ש ו ר ר י ם
ש מול העיריה,ש   מ ו ל   ה ע י ר י ה
ככר יקירי העיר,כ כ ר   י ק י ר י   ה ע י ר
יאדלר בןציון,י א ד ל ר   ב ן צ י ו ן
לבקרי צבי,ל ב ק ר י   צ ב י
רינה ניקובה,ר י נ ה   נ י ק ו ב ה
רגר,ר ג ר
רחבת אדר,ר ח ב ת   א ד ר
הים שכ מאורצ,ה י ם   ש כ   מ א ו ר צ
אחים גלזר,א ח י ם   ג ל ז ר
ולטר אבלס,ו ל ט ר   א ב ל ס
גובר רבקה ומרדכי,ג ו ב ר   ר ב ק ה   ו מ ר ד כ י
באב אל-ואדי,ב א ב   א ל - ו א ד י
מורשה קליפור,מ ו ר ש ה   ק ל י פ ו ר
קפארלי,ק פ א ר ל י
הרב ניסן עבודי,ה ר ב   נ י ס ן   ע ב ו ד י
ערב אל נעים,ע ר ב   א ל   נ ע י ם
שבטה,ש ב ט ה
אבנר,א ב נ ר
ש אלסוקנה,ש   א ל ס ו ק נ ה
סופתעאדי,ס ו פ ת ע א ד י
שד אתרי המקרא,ש ד   א ת ר י   ה מ ק ר א
שעורים,ש ע ו ר י ם
יעקב דוד,י ע ק ב   ד ו ד
גורדון מרדכי יחיאל,ג ו ר ד ו ן   מ ר ד כ י   י ח י א ל
הרב שבדרון שלום,ה ר ב   ש ב ד ר ו ן   ש ל ו ם
בנין טאנוס,ב נ י ן   ט א נ ו ס
שביל אלעזרי,ש ב י ל   א ל ע ז ר י
גלזמן,ג ל ז מ ן
אלחנן,א ל ח נ ן
ח'לואת אלרוג'אב,ח ' ל ו א ת   א ל ר ו ג ' א ב
ברלין ב קדי,ב ר ל י ן   ב   ק ד י
דרך השיירה,ד ר ך   ה ש י י ר ה
משה קברסקי,מ ש ה   ק ב ר ס ק י
רמת עמידר ה,ר מ ת   ע מ י ד ר   ה
נווה ההדרים,נ ו ו ה   ה ה ד ר י ם
נחל סירפד,נ ח ל   ס י ר פ ד
אזורים,א ז ו ר י ם
הרב שלמה גורן,ה ר ב   ש ל מ ה   ג ו ר ן
כנסת הגדולה,כ נ ס ת   ה ג ד ו ל ה
אם אל קוטוף,א ם   א ל   ק ו ט ו ף
קייס בן אל-מלוח,ק י י ס   ב ן   א ל - מ ל ו ח
גור מרדכי,ג ו ר   מ ר ד כ י
אבוחצירה אליעזר הרב,א ב ו ח צ י ר ה   א ל י ע ז ר   ה ר ב
פרצים,פ ר צ י ם
א חסבאני,א   ח ס ב א נ י
מעברה,מ ע ב ר ה
חטיבת צנחנים,ח ט י ב ת   צ נ ח נ י ם
יעקב דה הז,י ע ק ב   ד ה   ה ז
כ יבנה ש חסכ,כ   י ב נ ה   ש   ח ס כ
אדמון,א ד מ ו ן
עשר המכות,ע ש ר   ה מ כ ו ת
ילג פנה צפון,י ל ג   פ נ ה   צ פ ו ן
השוטרת,ה ש ו ט ר ת
גבעת ורדים,ג ב ע ת   ו ר ד י ם
ספיר שד,ס פ י ר   ש ד
מע צפון אזב,מ ע   צ פ ו ן   א ז ב
שרה לוי תנאי,ש ר ה   ל ו י   ת נ א י
נוף ערד,נ ו ף   ע ר ד
מכללת קיי,מ כ ל ל ת   ק י י
הקריה החקלאית,ה ק ר י ה   ה ח ק ל א י ת
ז'ן ז'ורס,ז ' ן   ז ' ו ר ס
יוסף אל-ע'ריב,י ו ס ף   א ל - ע ' ר י ב
כיכר שמר נעמי,כ י כ ר   ש מ ר   נ ע מ י
הארז,ה א ר ז
אלביר,א ל ב י ר
בית פינס,ב י ת   פ י נ ס
בני עקיבא יש,ב נ י   ע ק י ב א   י ש
תובל,ת ו ב ל
כב תל השומר,כ ב   ת ל   ה ש ו מ ר
גאולי תימן מושב,ג א ו ל י   ת י מ ן   מ ו ש ב
מבוא גבעון,מ ב ו א   ג ב ע ו ן
ש הרחבה,ש   ה ר ח ב ה
מעון א,מ ע ו ן   א
חג'יראתד'הרה,ח ג ' י ר א ת ד ' ה ר ה
פנימית בויא,פ נ י מ י ת   ב ו י א
הרב ניסים אהרון,ה ר ב   נ י ס י ם   א ה ר ו ן
נעום אלג'ליל,נ ע ו ם   א ל ג ' ל י ל
ש נווה צדק,ש   נ ו ו ה   צ ד ק
שוק אל חוסור,ש ו ק   א ל   ח ו ס ו ר
רמת ידין,ר מ ת   י ד י ן
כליף אל בלאדי,כ ל י ף   א ל   ב ל א ד י
אורון,א ו ר ו ן
סאבא בחוס,ס א ב א   ב ח ו ס
רח ק,ר ח   ק
ש מחלול א,ש   מ ח ל ו ל   א
אל-ח'לה,א ל - ח ' ל ה
אגודת ספורט מכבי,א ג ו ד ת   ס פ ו ר ט   מ כ ב י
ש עמ בניה ח,ש   ע מ   ב נ י ה   ח
עזרה תורה,ע ז ר ה   ת ו ר ה
לאה אימנו,ל א ה   א י מ נ ו
צעירי שלמה,צ ע י ר י   ש ל מ ה
אביטן יהושע,א ב י ט ן   י ה ו ש ע
התמירון,ה ת מ י ר ו ן
הא אייר,ה א   א י י ר
הגבעה המערבית,ה ג ב ע ה   ה מ ע ר ב י ת
ע כרם א הריס,ע   כ ר ם   א   ה ר י ס
לסקוב עמוס,ל ס ק ו ב   ע מ ו ס
מכון מדר חוץ,מ כ ו ן   מ ד ר   ח ו ץ
"נחל אביב מ""ר","נ ח ל   א ב י ב   מ "" ר"
שמואל גונן,ש מ ו א ל   ג ו נ ן
הרב שפר,ה ר ב   ש פ ר
מאחורי הרצל,מ א ח ו ר י   ה ר צ ל
אדמון ידידייה,א ד מ ו ן   י ד י ד י י ה
אלגמאמה,א ל ג מ א מ ה
התשעה,ה ת ש ע ה
נחמיה עמינה,נ ח מ י ה   ע מ י נ ה
כרמי תמנתה,כ ר מ י   ת מ נ ת ה
ככר משה עציוני,כ כ ר   מ ש ה   ע צ י ו נ י
פרנק גימס,פ ר נ ק   ג י מ ס
הצנחנים שד,ה צ נ ח נ י ם   ש ד
עופרת,ע ו פ ר ת
לוי שלום אהרון,ל ו י   ש ל ו ם   א ה ר ו ן
סגל שרגא,ס ג ל   ש ר ג א
שד הקבוצים,ש ד   ה ק ב ו צ י ם
ביח מזור,ב י ח   מ ז ו ר
משעול תמוז,מ ש ע ו ל   ת מ ו ז
לייב הורביץ לומזה,ל י י ב   ה ו ר ב י ץ   ל ו מ ז ה
אל מקברה,א ל   מ ק ב ר ה
משעול נחל ערוגות,מ ש ע ו ל   נ ח ל   ע ר ו ג ו ת
ש ברנע,ש   ב ר נ ע
אלמנאג'ר,א ל מ נ א ג ' ר
"נקר מ""ר","נ ק ר   מ "" ר"
שבולים,ש ב ו ל י ם
משעול אתרוג,מ ש ע ו ל   א ת ר ו ג
שוק ריחאן,ש ו ק   ר י ח א ן
מעב נפלאון,מ ע ב   נ פ ל א ו ן
האחים בכר,ה א ח י ם   ב כ ר
יהדות בולגריה,י ה ד ו ת   ב ו ל ג ר י ה
מלון אסטוריה,מ ל ו ן   א ס ט ו ר י ה
מעונות שערי צדק,מ ע ו נ ו ת   ש ע ר י   צ ד ק
העליה שניה,ה ע ל י ה   ש נ י ה
ש קרית חוף,ש   ק ר י ת   ח ו ף
מכללת אורות,מ כ ל ל ת   א ו ר ו ת
הרברט בן עדי,ה ר ב ר ט   ב ן   ע ד י
אלסינאעה,א ל ס י נ א ע ה
סמ החבצלות,ס מ   ה ח ב צ ל ו ת
התמרים סמ,ה ת מ ר י ם   ס מ
שוק אל בזאר,ש ו ק   א ל   ב ז א ר
חייקה גרוסמן,ח י י ק ה   ג ר ו ס מ ן
רומנלי,ר ו מ נ ל י
ש ערוני כט,ש   ע ר ו נ י   כ ט
אלברכוכ,א ל ב ר כ ו כ
מבוא המיתנן,מ ב ו א   ה מ י ת נ ן
ככר מירון,כ כ ר   מ י ר ו ן
ירוחם רבנו,י ר ו ח ם   ר ב נ ו
פרץ גולדשטיין,פ ר ץ   ג ו ל ד ש ט י י ן
אלמרוחה,א ל מ ר ו ח ה
זגגי,ז ג ג י
ככראברהם הלפרין,כ כ ר א ב ר ה ם   ה ל פ ר י ן
יט סמ,י ט   ס מ
מוסאיוף,מ ו ס א י ו ף
משעול יונה,מ ש ע ו ל   י ו נ ה
רח ה תל גבור,ר ח   ה   ת ל   ג ב ו ר
משעול בעל הנס,מ ש ע ו ל   ב ע ל   ה נ ס
ש מומח ק יבל,ש   מ ו מ ח   ק   י ב ל
בית פלט,ב י ת   פ ל ט
ש הדר חיים א,ש   ה ד ר   ח י י ם   א
יוסף פלדמן,י ו ס ף   פ ל ד מ ן
עאישה,ע א י ש ה
יוהנה כ הנער,י ו ה נ ה   כ   ה נ ע ר
כביש המנהרות,כ ב י ש   ה מ נ ה ר ו ת
כיכר בן ציון גיני,כ י כ ר   ב ן   צ י ו ן   ג י נ י
כפר הנגיד,כ פ ר   ה נ ג י ד
פיכמן ב הור,פ י כ מ ן   ב   ה ו ר
שכ הארגזים,ש כ   ה א ר ג ז י ם
אל - עקד,א ל   -   ע ק ד
